,company_name,phone,email
33,Escalera Pest Control,805-964-4651,None
34,Everready,805-633-9266,amyb@ertpc.com
35,Excellence Pest Control & Termites,323-401-0008,contact@excellencepestcontrol.com
36,Feather River Termite,530-533-6954,featherrivertermite@orocom.net
37,Fumigation Direct Inc.,760-521-0327,fumigationdirectinc@gmail.com
38,Gators Inc.,831-775-0720,fumecrew@outlook.com
39,Gold Coast Pest Control,805-494-3430,gold_coast_pest@verizon.net
40,Golden Empire Pest Control,661-588-2744,goldenempirepestcontrol@aol.com
41,Gordon Termite Control Inc,562-925-5800,bobgordon@gordontermite.com
42,Hydrex PC-Santa Clara County,408-978-0211,hydrexjason@gmail.com
43,Inside Out Pest Control,805-658-2994,melissap262@sbcglobal.net
44,Joshua's  Pest Control,858-547-9900,jwalton@moxiepestcontrol.com
45,"JP Termite, Inc",310-677-1140,jptermite@sbcglobal.net
46,Kennedy Pest Control Inc,760-630-5975,kennedypest@aol.com
47,Legion Pest Management,951-219-6588,legionpest@gmail.com
48,Liongate Pest Control,818-353-4800,liongatepest@verizon.net
49,Major League Pest,760-737-6810,paul@majorleaguepest.com
50,"Mann Vs Pest, Inc",619-674-7253,jerome@mannvspest.com
51,Marin Termite Control Co,415-456-9620,marinterm@aol.com
52,Mercury Termite & Pest Control,626-858-5300,mercurytermite@verizon.net
53,Morales Exterminating Company,626-572-7363,robert@moralesext.com
54,Morgan Bros./San Joaq.Pest Ctl,559-291-2200,sj_pc@yahoo.com
55,Mountain Home Pest Control,831-338-0888,mountainhomepestcontrol@hotmail.com
56,Neighborly Pest Mgmt  Inc,916-782-3767,jim@neighborlypest.com
57,Nor-Cal Pest Control,916-344-5156,norcalpc@sbcglobal.net
58,Northstar Exterminators,909-877-1810,lylerevans@outlook.com
59,Northstar Exterminators-West,909-877-1810,mattsevans@live.com
60,NU-Tech Pest Management,805-928-3839,nu.tech@verizon.net
61,"Otto Exterminating Co., Inc",818-200-3146,ottoexterminating@sbcglobal.net
62,Paramount Pest Services,559-277-4333,None
63,Pat's Affordable Fumigation & Inspections,707-577-8100,patsfume@comcast.net
64,"Payne Pest Management, Inc.",858-277-2228,wpayne@paynepestmgmt.com
65,Peace of Mind Pest Control,866-757-8480,info@pomteam.com
66,Pest Solutions Termite & Pest Control,323-569-7496,mmpestsolutions@yahoo.com
67,Pro Pacific Pest Control,760-480-4844,shane@propacificpest.com
68,Proven Termite SolutionsWeed Enterprises Dba,408-929-1992,info@proventermitesolutions.com
69,Quality Pest Control,909-593-4151,None
70,Quality Pest Services,714-630-4800,lee@qualitypestservices.net
71,Quantum Termite & Construction,714-630-7416,marc@quantumtermite.com
72,"R & C Fume, Inc",559-241-0151,rcfume@gmail.com
73,RNG Fume,714-605-1486,falloramirez@yahoo.com
74,Rousselle Inc.,562-692-0481,roussellefume@aol.com
75,Royalty Fumigation,562-630-6320,None
76,Ruddock's Termite Control,818-982-9827,None
77,San Diego Fume Works Company Inc,760-758-1869,sdfumeworksco@gmail.com
78,"SBM Fumigation, Inc.",310-719-2310,sbmfumigation@sbcglobal.net
79,Seacoast Termite & Pest Control,858-454-9563,bugmanlj@aol.com
80,"Simonsen Termite & Structural Pest Control, Inc.",415-524-6245,jeffsimonsen@sbcglobal.net
81,Sloan's Exterminators,805-647-4288,sloans1@sbcglobal.net
82,Sobrino's Termite & Pest Control,805-498-3026,sobrinotermite@verizon.net
83,Southwood Pest Control,714-579-7855,southwoodpest@aol.com
84,Squish It Termite,559-241-4900,sdziegiel@comcast.net
85,Stellar Termite Services,707-575-7827,mike@stellar-termite.com
86,Steve Howell Termite Control,831-375-2115,SteveHowell@MontereyTermite.com
87,Suncrest Exterminating,714-632-3600,officestaff@suncrestext.com
88,Target Pest Control,831-424-7308,None
89,"Taylor Brothers, Inc. dba RES-COM Pest  Control",559-685-8989,rescomceo@rescompestcontrol.com
90,The Fume Team Inc,619-880-5513,thefumeteam@gmail.com
91,The Termite King,310-985-0162,thetermiteking@yahoo.com
92,"Thrasher Termite/Pest Control, Inc.",408-354-9944,JThrasher@thrashertermite.com
93,Tri-Fume Inc,805-486-1727,None
94,United Termite and Home Services,916-265-5300,pauljr@unitedths.com
95,Unix Exterminating Company,626-914-1986,jredenbaugh@ymail.com
96,Ventura Pest Control,805-656-1545,chuck@venturapest.com
97,Willis Exterminators,760-597-1031,willis.exterminators@gmail.com
98,"Your Way Fumigation, Inc.",951-699-1866,manuel@ywfumigation.com
99,Zap Termite & Pest Control,916-987-9094,mrzap@zappest.com
100,1st Stryke Pest & Termite Solutions,310-995-2896,info@1ststrykesolutions.com
101,49'er Pest Control,530-677-7923,49ertermiteandpestcontrol@gmail.com
102,A 1 Termite & Pest Control Inc,213-388-4506,mikemhnam@aol.com
103,"A Step Above Pest Control, Inc",323-734-2704,tania@asapcontrol.com
104,A-1 Exterminators,209-465-5834,a-1exterminators@hotmail.com
105,A-Leave Pest Control,559-294-8633,a-leavepestcontrol@att.net
106,"A-Pro Pest Control, Inc",408-559-0933,aproinc1@aol.com
107,AAI Termite & Pest Control Inc,209-545-0789,acctgrp@aaipest.com
108,Aardvark Ant & Pest Control Inc.,619-579-5020,aardvark@sdcoxmail.com
109,"ABBA Termite & Pest Control, Inc.",562-698-9866,sam.bert@yahoo.com
110,"Access Exterminator Service, Inc.",714-630-6310,russ@accessext.com
111,Accu-Tech Exterminators,818-826-3329,marangonef@aol.com
112,Accurate Termite & Pest Solutions,707-725-3896,accuratepest707@gmail.com
113,Acnow Termite & Pest Control Inc,760-241-4477,acnowtermite@yahoo.com
114,Admiral Pest Control Inc,562-925-8308,jeff@admiralpest.com
115,Advanced Integrated Pest Management,916-786-2404,dscott@advancedipm.com
116,Advanced Pest Control,559-924-2850,None
117,Advantage Pest Control,530-637-1965,advantagepest@gmail.com
118,Aftermath Exterminating,619-722-6428,None
119,"Agrecom, Inc.",209-725-0391,mike@agrecom.net
120,Agricultural Pest Control Serv,858-536-2999,agrpest@aol.com
121,Airtight Environmental Pest Control,818-768-3549,steve@airtightpestcontrol.com
122,Algon Exterminating Co,619-561-1991,merry@algonpest.com
123,All American Pest Management,818-939-1077,michael.vermilion@gmail.com
124,All Clear Pest Control,916-230-2389,grantleeturner@gmail.com
125,All Pro Pest Control,661-298-2200,joseph@allpropestinc.com
126,All Time Pest Control Inc.,818-840-8200,claudia.studer@sbcglobal.net
127,All-Pro Termite & Pest Control,760-242-2344,mglassey@verizon.net
128,Allens Pest Control,805-458-0593,jason@allenspests.com
129,"AllerClean Pest Control, Inc.",818-368-8808,brucemosk@hotmail.com
130,Aloha Commerical Pest Services,323-263-7359,info@alohabugs.com
131,Already a Better Choice Termite & Pest Control Inc,626-401-0058,alreadyabetterchoiceinc@gmail.com
132,Amaze Pest Control,559-731-1622,amazepestcontrol@yahoo.com
133,American Rat Control,310-397-8275,americanratcontrol@gmail.com
134,"AMS PC, IncDBA: Orkin Pest Control of No. Calif.",530-566-1749,jshale939@sbcglobal.net
135,"Anchor Pest Control, Inc.",209-536-1981,info@anchorpest.com
136,Anna Montague & Claude English Partnership,760-961-8872,None
137,Apex Pest Control,916-454-2739,apexpest@aol.com
138,Area Wide Exterminators,209-464-4731,awe6912@aol.com
139,Armed Force Pest Control Inc.,707-987-9828,afpc.inc@aol.com
140,Aspen Pest Management,530-753-7378,haruspex@pobox.com
141,Assured Audit Pest Prevention,909-767-8940,joe@assuredaudit.com
142,ATCO Pest Control,415-898-2282,richard@atcopestcontrol.com
143,Authorized Pest Control,805-473-2847,None
144,Aztec Pest Control Services,619-286-7373,dbugaztec@hotmail.com
145,"Ban-A-Pest Pest, Inc.",310-673-0776,banapest@aol.com
146,Barrier Pest Solutions,916-683-2929,anthonymora.bps@gmail.com
147,"Bateman Termite Control and Pest Control, Inc.",310-214-2800,RCRMAN@aol.com
148,Bay Valley Pest Control,408-370-1603,bayvalleypest@aol.com
149,Bell Pest Control,916-685-6771,sales@bellpest.com
150,"Benchmark Pest Control, Inc",661-588-4869,aozanich@benchmarkpestcontrol.com
151,"Best Pest Service, Inc",650-588-7378,nbp522@yahoo.com
152,Best Price Pest Control,916-481-7700,ldprice55@yahoo.com
153,Better Pest Control Inc,559-294-8286,jerry@fresnolink.net
154,BG Inspections & Pest Control,707-410-7907,beetleman@comcast.net
155,Blutmans Pest Control,510-493-6802,sblutman@aol.com
156,Bob & Duffs Pest Control-whipjac Corp.,707-257-0411,bdcpest@yahoo.com
157,Bob's Community Pest Control,209-722-9923,BJBugman@comcast.net
158,"Bonner Pest Control, Inc",916-967-9231,bpc4u2003@yahoo.com
159,Borite Termite & Pest Treatments Corp.,818-386-0502,jack@borite.com
160,Bradshaw Pest Control,530-547-3013,None
161,Bradway's Bug Police Pest Control,760-669-8449,nathanbradway@hotmail.com
162,Brentwood Pest Control,310-473-1822,danielcbpc@hotmail.com
163,"Brezden Pest Control, Inc.",805-544-9446,sales@brezdenpest.com
164,Bug Patrol,661-810-9901,bugpatrol@msn.com
165,Bug Zappers Pest Control,925-825-2847,erichakes@mybugzappers.com
166,"Bugman Pest Control, Inc",916-361-1631,gavdillon@yahoo.com
167,"Bugman Termite & PC, The",714-992-1292,brian@thebugman.com
168,Byrd Pest Management,209-892-2973,john@byrdpest.com
169,C H Boddie Pest Control Inc.,310-839-9270,carlton@boddiepestmanagement.com
170,Cal Coast Termite & Pest Control,562-422-3566,info@calcoasttermite.com
171,Cal State Termite & Pest Ctl,559-896-9320,None
172,California American Extermintor,800-540-0658,nobugs@calamericanext.com
173,California Exterminating Serv,925-283-8514,calextsvc@sbcglobal.net
174,California Pest Control,209-992-1190,calpestcontrol@gmail.com
175,"California Pest Management, Inc",626-633-6620,calpestmgmt@yahoo.com
176,Canine Detection Services,559-480-5713,info@canine-detection.com
177,Carmel Valley Pest Control,858-350-8838,office@carmelvalleypc.com
178,Cascade Pest Systems,707-446-7760,michael@cascadepestsystems.com
179,Casner Exterminating Inc.,831-757-6000,wbellville@casnerexterminating.com
180,Castech Pest Services,559-276-6600,dave@castechpest.com
181,CATS USA Pest Control,818-506-1000,ytada@catspestcontrol.com
182,Central Coast Termite,805-489-3070,cctermite@charter.net
183,Centurion Pest Control,858-538-5400,rplatt@pacbell.net
184,Chem Free Inc,562-984-2525,chemfreemurphy@aol.com
185,Chino-Corona Valley Pest Management,909-615-0189,johnstpatrick@verizon.net
186,Choice Pest Control,626-836-7000,choicePest@earthlink.net
187,Circle Kustom Exterminators,951-340-0031,termitesll@aol.com
188,Class Termite & Pest Control,310-328-7781,classtermite@yahoo.com
189,"Club Pest Control, Inc.",661-299-2582,service@clubpestcontrol.com
190,Coachella Valley Pest Control Inc.,760-360-1200,coachellavalleypest@gmail.com
191,Coast Chem Exterminating,562-981-8433,None
192,Coastside Termite,650-726-6757,peter@coastsidetermite.com
193,Community Pest Control,626-577-4198,abias@prodigy.net
194,Corky's PC - Santa Ana,714-549-9525,corkyspcsa@aol.com
195,Crane Pest Control,415-922-1666,craneinfo@cranepestcontrol.com
196,CSI Exterminators,559-294-1779,jslusher@csi-ext.com
197,CTR Pest Management,661-259-7993,CTRPEST@aol.com
198,CVA Exterminators,661-775-4981,mail@cvaexterminators.com
199,"CVS Services, Inc",949-583-9616,cvsservices@cox.net
200,"D & R Termite Inspections, Inc.",707-773-3550,None
201,"D & S Termite, Pest Control  & Fumigations    (AMBD Inc)",619-462-5577,termitegrl@aol.com
202,D. L. Bruce Exterminating Inc,949-852-1733,klbruce@sbcglobal.net
203,Danny Terra Pest Control Inc.,707-372-9955,None
204,Davis Termite & Pest Co.,909-657-7378,davistermiteandpestco@gmail.com
205,"Dawnlee Pest Control, Inc",559-246-2230,dawnleepestcontrol@att.net
206,"DeAnza Termite & Pest Control, Inc",951-677-8770,mail@deanzatermite.com
207,Desert Pacific Exterminators,760-365-4912,n2marbles@roadrunner.com
208,"Direct Hit Pest Control, Inc",916-992-6870,pestchick01@sbcglobal.net
209,Diverse Inspection Service,415-665-8288,diverseinspections@sbcglobal.net
210,Don's Drop Dead Pest Control,818-241-3316,donsdropdead@gmail.com
211,"Donatelli's Fat Cat Exterminators, Inc",800-797-7329,tazmandd@yahoo.com
212,Dougolyn Pest Control,559-665-3258,dougolyn@hotmail.com
213,Downtown Pest Control,909-868-6773,downtownpestcontrol@gmail.com
214,Dustin Pest Control,559-275-2253,dustinpestcontrol@sbcglobal.net
215,Dynamite Exterminators,209-578-2847,tomkaten@dynamiteexterminators.com
216,E & K Pest Control,562-694-3441,None
217,East Valley Termite Company,925-443-6040,eastvalleytermite@sbcglobal.net
218,"Eco Home Safe, Inc.",818-886-2812,ecohomesafe@hotmail.com
219,EcoGuard Pest Management,916-817-2847,ecoguard1411@gmail.com
220,Ecola Services of Southern California,818-920-7301,info@ecolatermite.com
221,Econex Pest Control,949-232-1702,dwilbur@econexpest.com
222,Enviro-Care Pest/Termite Ctl,714-744-1411,geoffvint@aol.com
223,Eraticators Wildlife Pest Control,805-451-7287,onoarat@cox.net
224,Everready,805-633-9266,amyb@ertpc.com
225,Ex Cimex,619-253-4157,cam@excimex.com
226,Excellence Pest Control & Termites,323-401-0008,contact@excellencepestcontrol.com
227,Exterminetics of So California,714-835-1887,exterminetics@earthlink.net
228,Far East Pest Control,626-289-9348,fareastpestcontrol@earthlink.net
229,First Quality Pest Control,818-886-2847,Jgloz@aol.com
230,First Select Pest Control,510-759-3944,dominic@firstselectpestcontrol.com
231,Foothill Sierra Pest Control,209-532-7378,jimtassano@goldrush.com
232,Frazier Pest Control Inc,760-328-6115,julie@frazierpestcontrol.com
233,"Friend's Pest Control, Inc.",818-219-1423,allanrosell@att.net
234,Galvinized Termite and Pest Control,626-287-6683,galvinizedtpc@gmail.com
235,Gauden Exterminating,209-599-3692,termiteman@charter.net
236,Gavilan Pest Control,831-442-1915,gavilanpc@att.net
237,Gold Coast Pest Control,805-494-3430,gold_coast_pest@verizon.net
238,Gordon Termite Control Inc,562-925-5800,bobgordon@gordontermite.com
239,Green Dog Pest Services,951-790-2847,deanna@greendogpestservice.com
240,Greenleaf Organic Pest Mgmt,818-752-9989,mark.greenleafpest@gmail.com
241,Griffin Pest Management,888-400-9011,tjs@griffinpestmgmt.com
242,Haderle Pest Control,831-428-2757,haderlepestcontrol@gmail.com
243,"Happy Pest Control, Inc",510-886-1236,happypestcontrol@gmail.com
244,"Harmon Pest Control, Inc",209-522-1475,info@harmonpestcontrolinc.com
245,"Hearts Pest Management, Inc.",858-486-1006,hearts_pest@yahoo.com
246,Hines Pest & Weed Control,831-688-3391,None
247,Hodges Emergency Pest Services,916-833-9618,1-65malibu@comcast.net
248,Holland's Red Alert Pest Ctl,562-577-4664  cell,redalertpestcontrol@yahoo.com
249,"Home Defenders Termite/Pest Mgmt, Inc",909-337-8623,homedefenders@yahoo.com
250,Horizon Pest Management,925-250-9314,deltaops66@aol.com
251,Hydrex PC - Antelope Valley,661-251-8858,hydrex@sbcglobal.net
252,Hydrex PC-Sacramento,916-447-3922,None
253,Hydrex PC-San Diego,858-695-0455,None
254,Hydrex PC-Santa Clara County,408-978-0211,hydrexjason@gmail.com
255,Hydrex Pest Control of Glendale Burbank,818-248-5186,hydrexgb@hydrex.com
256,Hyer Pest Solutions,209-390-7966,carloskillsbugs@gmail.com
257,I Am Pest Control,661-330-7355,debuggin4you@outlook.com
258,I.V. Termite & Pest Control,760-352-4132,bluelake@hotmail.com
259,Innovative Pest Management,310-322-1999,None
260,"Intercept Pest Mgmt., Inc",818-992-8671,bernie@interceptpest.com
261,"IPM Tech Pest Mgmt, Inc",909-625-1720,laila@ipmservicesnow.com
262,J Spray Corporation,925-934-4286,None
263,"Janus Pest Management, Inc",888-526-8744,jayspicer@januspest.com
264,Jeff's Pest Control Service,530-247-1802,info@jeffspest.com
265,Jones Bros. Pest Control Inc.,916-852-8800,sjones@jonesbrospc.com
266,Joshua's  Pest Control,858-547-9900,jwalton@moxiepestcontrol.com
267,Kastle Kare Inc,805-484-8181,kastlekare@hotmail.com
268,Keith Bowles Pest Control,408-461-0300,bugman05@pacbell.net
269,Kennedy Pest Control Inc,760-630-5975,kennedypest@aol.com
270,Kern Pest Control,661-398-8619,None
271,"Keystone Pest Control, Inc.",510-782-8285,keystonepc@comcast.net
272,Koby Pest Control,530-626-6774,Koby@directcon.net
273,Kurt & Kyle Pest Control,805-652-7489,kurtandkylepestcontrol@yahoo.com
274,Lassen Pest Control,530-253-2232,dryrot@frontiernet.net
275,Legion Pest Management,951-219-6588,legionpest@gmail.com
276,Liongate Pest Control,818-353-4800,liongatepest@verizon.net
277,Little David Pest Control Inc,408-294-1955,service@littledavidpestcontrol.com
278,Major League Pest,760-737-6810,paul@majorleaguepest.com
279,"Mann Vs Pest, Inc",619-674-7253,jerome@mannvspest.com
280,Marquee Pest Management Inc.,510-683-9520,marqueeajp@aol.com
281,Marty Chance Exterminating,310-534-1677,mcexterm@aol.com
282,Mendo Lake Termite Control,707-964-7909,mltc2@comcast.net
283,Mercado and Son,626-968-0409,None
284,Mercury Termite & Pest Control,626-858-5300,mercurytermite@verizon.net
285,Mighty Bug Exterminators,714-635-8201,None
286,Mill's Pest Control,415-431-4236,mills1485@aol.com
287,Morales Exterminating Company,626-572-7363,robert@moralesext.com
288,Morgan Bros./San Joaq.Pest Ctl,559-291-2200,sj_pc@yahoo.com
289,Morse Termite & Pest Control,559-325-9400,info@morsepest.com
290,Mortons Urban Pest Management,707-966-3007,craigcmorton@earthlink.net
291,Mountain Home Pest Control,831-338-0888,mountainhomepestcontrol@hotmail.com
292,N Service Pest Management,626-926-6081,ch9ky4@aol.com
293,Neighborly Pest Mgmt  Inc,916-782-3767,jim@neighborlypest.com
294,"NixTermite, Inc.",619-472-6666,customerservice@nixtermite.com
295,Noble Enterprises Inc. Dba: The Noble Way Pest Control,916-929-9020,None
296,Northstar Exterminators,909-877-1810,lylerevans@outlook.com
297,Northstar Exterminators-West,909-877-1810,mattsevans@live.com
298,NU-Tech Pest Management,805-928-3839,nu.tech@verizon.net
299,OCAL Pest Control,951-394-2115,info@ocalpestcontrol.com
300,"Ojai Termite & Pest Control, Inc",805-646-6504,bugs@ojaitermite.com
301,"Onstar Pest Control, Inc",209-652-2407,onstarpco@aol.com
302,OSI Pest Elimination,559-936-0499,mcardoza@osipest.com
303,P.E.S.T. Machine Team of LA,714-960-7686,pest.machine@verizon.net
304,Pacifica Pest Control,714-838-2910,pacificapc@aol.com
305,Palmieri Pest Control,650-299-1964,jopalpest@aol.com
306,Palomar Termite & Pest Control,760-738-8212,palomartermite@hotmail.com
307,Paradise Pest Solutions,619-938-2847,brad@paradisepestsolutions.com
308,Paragon Pest Control,530-587-5743,None
309,Paramount Pest Services,559-277-4333,None
310,Parish Termite & Pest Management Inc,916-745-3801,info@parish-pest.com
311,"Payne Pest Management, Inc.",858-277-2228,wpayne@paynepestmgmt.com
312,Pegasus Pest Control,916-428-0578,None
313,Performance Pest Management,925-484-3400,billyeoman@sbcglobal.net
314,"Pest Detective, Inc.",916-652-5987,pestdetective@sbcglobal.net
315,Pest Options Inc,714-224-7378,bthompson@pestoptions.com
316,Pest Rx,951-662-9690,tim@pestrx.net
317,Pest Solutions Termite & Pest Control,323-569-7496,mmpestsolutions@yahoo.com
318,Pest X Bakersfield Termite & Pest Control,661-399-9214,pestx@att.net
319,Pestfinders,925-476-5410,jaimecol8@pestfinders.net
320,PestForce 1,818-997-7265,pnoud@mindspring.com
321,Pestgon Incorporated,877-724-8100,pestgon@PacBell.net
322,Pestmaster Services of Visalia,559-280-8727,pestmaster@clearwire.net
323,Pete's Termite & Pest Control,909-338-5270,currierp7@yahoo.com
324,"Pink Xterminators, Inc",844-361-1768,pinkxtinoco@gmail.com
325,"PMG Pest Control, Inc",619-410-7883,pmgpestcontrol@aol.com
326,"Primate Pest Elimination, Inc.",661-430-0949,info@primatepest.com
327,"Pro Active Pest Control, Inc.",916-380-0402,kyleturnerpest@gmail.com
328,Pro Pacific Pest Control,760-480-4844,shane@propacificpest.com
329,Pro Tech Pest Control,559-635-8448,rod@pro-techvisalia.com
330,ProCraft,909-436-5520,mike@procraft-pc.com
331,Professional Exterminators of No Cal,800-957-3787,norrup@msn.com
332,Professional Exterminators of Redding,530-559-5949,proexterminator@gmail.com
333,"Q Pest Control, Inc.",916-769-7585,kiuusa@yahoo.com
334,Quality Pest Control,909-593-4151,None
335,R P M Exterminators,408-445-1738,rpmexterminators@comcast.net
336,Redding Spray Service,530-221-3007,reddingspray@shasta.com
337,"RG Tech Pest Control, Inc.",559-871-3038,rgtechpestcontrol@gmail.com
338,Rid X Pest Disposal,661-729-3200,clbloodworth@gmail.com
339,Rio Linda Pest Control,916-247-8143,leewelch02@yahoo.com
340,Rob Bowlen Termite Co,925-383-6001,robbowlen@comcast.net
341,Robert May Termite/Pest Mgmt,909-337-0353,info@maypestcontrol.com
342,Rocklin Pest Control,916-630-1212,rocklinpestcontrol@sbcglobal.net
343,"Rodent Pest Technologies, Inc.",951-509-5594,angelot@rodentpesttech.com
344,Rousselle Inc.,562-692-0481,roussellefume@aol.com
345,Roy L Burge Inc,510-523-6100,burgepest@gmail.com
346,Ruddock's Termite Control,818-982-9827,None
347,S.T.O.Pests Pest Control,661-393-9284,stop_pest@yahoo.com
348,Safeguard PC/Mother Lode,209-267-1200,safegrd@goldrush.com
349,San Diego Pest & Termite,858-521-8876,earl@sdpestsolutions.com
350,Sanitech Pest Management,818-678-9877,staff@sanitechusa.com
351,Seacoast Termite & Pest Control,858-454-9563,bugmanlj@aol.com
352,"Sentry Pest Management, Inc.",714-642-6730,jonspest429@gmail.com
353,"Sentry Termite &  Pest Control, Inc.",805-527-8002,John@sentrypestpros.com
354,Shelby's Pest Control Inc,530-343-0603,None
355,Sierra Termite Control Inc,562-493-5700,darrylschultz@mac.com
356,Slater's Pest Control,707-829-2961,aj_slater@comcast.net
357,Sloan's Exterminators,805-647-4288,sloans1@sbcglobal.net
358,Smart Choice Pest Control,530-378-4599,buggmanu@yahoo.com
359,Smitty's Pest Control,559-230-1544,smittyspestcontrol@att.net
360,Sobrino's Termite & Pest Control,805-498-3026,sobrinotermite@verizon.net
361,"Sorenson Pest Control, Inc",530-846-4733,sue@sorensonpestcontrol.com
362,SOS  Pest Control,408-866-6609,info@sospestcontrol.com
363,South County Pest Control,951-676-5577,southerncaliforniapestcontrol@gmail.com
364,Southwood Pest Control,714-579-7855,southwoodpest@aol.com
365,Squish It Termite,559-241-4900,sdziegiel@comcast.net
366,Standard Termite & Pest Ctl,530-626-9694,jerry@termiteandpest.com
367,Stanley Pest Control,626-443-2847,ogonzales@stanleypest.com
368,Steve Despain Pest Control,805-466-2406,despainpest@charter.net
369,Structural Termite & PC Inc,951-687-7413,dasbell@sbcglobal.net
370,Suncrest Exterminating,714-632-3600,officestaff@suncrestext.com
371,"Sunwest Exterminators, Inc.",951-789-6040,sunwestext@aol.com
372,Superior Pest & Rodent Management,916-824-1130,kelly@superiorpestpro.com
373,"Tanler Environmental Services, Inc",310-673-7378,daisy@tanlertermite.com
374,"Taps Termite & Pest Specialists, Inc.",408-259-5900,tapsterm@gmail.com
375,Target Pest Control,831-424-7308,None
376,"Taylor Brothers, Inc. dba RES-COM Pest  Control",559-685-8989,rescomceo@rescompestcontrol.com
377,Tech-No-Pest Co.,714-992-6806,gary@technopestco.com
378,"Tehachapi Pest Control, Inc.",661-822-6600,None
379,Terra X Pest Services,831-234-1549,b.terra@sbcglobal.net
380,The Bee Man Pest Control,949-455-0123,Robert@beemanbuzz.com
381,The No Nonsense Termite Company Inc.,714-635-5111,nononsenseman@aol.com
382,The Pest Guys,916-714-3232,pestguys916@gmail.com
383,The Termite Guy,949-940-1010,alex@877termite.com
384,Thomasson Pest Control,559-674-2868,None
385,"Thrasher Termite/Pest Control, Inc.",408-354-9944,JThrasher@thrashertermite.com
386,"Tiger Termite Control, Inc.",909-597-6953,tigertermite@earthlink.net
387,Tony's Pest Control,661-714-6083,tonyspest@yahoo.com
388,Top Dog Detection,714-271-1101,david@topdogdetection.com
389,Total Exterminating Company,714-630-3215,total1donna@sbcglobal.net
390,Transaction Termite Inc,760-776-0850,termitesean@gmail.com
391,Trinity Termite & Pest Control,530-222-6990,trinitytermite@yahoo.com
392,True Heat Solutions,866-722-3372,info@trueheatsolutions.com
393,"Twin Termite, Pest Control & Construction, Inc.",916-344-8946,kyle@twintermite.com
394,United Termite and Home Services,916-265-5300,pauljr@unitedths.com
395,Valley Pest Services DBA Pestmaster Services of Desert Valley,760-344-5839,pestmasterdv@sbcglobal.net
396,Valley Pest Solutions,209-481-1338,terry@pestsolutions.com
397,Valley Wide Pest Control,559-285-8181,nathan@vwpc.us
398,Ventura Pest Control,805-656-1545,chuck@venturapest.com
399,Vester Pest Control,800-243-5993,armen@vesterpest.com
400,Victory Exterminating Inc,626-331-7288,bocking3@aol.com
401,Vineyard Valley Pest Control,951-676-6760,info@vvpest.com
402,Viper Pest Control,530-622-9924,viperpest@comcast.net
403,"Vital Signs Prof Real Estate Serv., Inc.",310-326-6939,harold@vitalsignstermite.com
404,W.A. Stone Termite's  Alternative To Fumigation,760-743-2847,control@wastone.com
405,We Care Pest Solutions,707-573-5899,bradwecare@comcast.net
406,West Oaks Pest Control,805-642-6077,westoakspest@aol.com
407,Weymouth Pest Control,559-233-1855,None
408,White Flag Pest Control,805-489-9987,None
409,Willis Exterminators,760-597-1031,willis.exterminators@gmail.com
410,Wine Country Termite & Pest Ctrl.,707-585-7955,judan95407@yahoo.com
411,Woodland-Davis Termite & PC,530-662-1234,jskowes@sbcglobal.net
412,Woods Pest Control Inc,530-229-0458,woodspc@c-zone.net
